sample_name,measurement_file,cell_name,direction,column_name,Efficiency,Fill Factor,Imax,InPower,Isc,Jsc,Pmax,Rs,Rsh,Vmax,Voc,fit_I_ph,fit_I_s,fit_n,fit_R_s,fit_R_sh,fit_R_squared,fit_RMSE,Mg,P,S,Fe,Cu,Zn,Pd,Sn,Pb,10.5min-391.3,10.5min-493.4,10.5min-771.3,11.2min-1028.4,11.2min-1148.4,11.8min-998.4,13.5min-189.0,13.5min-1225.4,11.8min-100.7,4min-214.1,4min-230.2,5.5min-123.0,5.5min-244.2,5.5min-101.2
1_LotF259031,PSC30＿水準8,セル6,Forward,1_LotF259031_PSC30＿水準8_セル6_Forward,10.27892219,0.542456511,1.009987,1.0117,1.254278,20.58893631,0.62619194,201.9695546,18961.15835,0.62,0.920340941,0.0012462449364675,1.5696272049309794e-07,4.000000003568769,133.54318548182127,3404864.9721849635,0.9995368852354148,0.0172456982707489,2,1000,1000,2,0,3,1000.0,2,0,24863252.0,123542632.0,108425383.0,3961184.0,40675670.0,571977382.0,1534790684.0,706788740.0,27225696.0,210449.0,13943487.0,371893003.0,1911868.0,7483057.0
1_LotF259031,PSC30＿水準8,セル10,Forward,1_LotF259031_PSC30＿水準8_セル10_Forward,10.25089396,0.543781348,1.007233,1.0117,1.266335,20.78685161,0.62448446,196.2721635,11698.47707,0.62,0.906877691,0.0012584769850492,1.7764932372071097e-07,3.9999999999418456,132.3412689204248,3367526.7570692543,0.9991333893930838,0.0245313374328758,2,1000,1000,2,0,3,1000.0,2,0,24863252.0,123542632.0,108425383.0,3961184.0,40675670.0,571977382.0,1534790684.0,706788740.0,27225696.0,210449.0,13943487.0,371893003.0,1911868.0,7483057.0
1_LotF259031,PSC30＿水準9,セル1,Forward,1_LotF259031_PSC30＿水準9_セル1_Forward,12.9428036769534,0.586179011251074,1.19466,1.0117,1.441249,23.6580597504924,0.7884756,150.78701018159,21450.3003041965,0.66,0.933295077663603,0.0014394386727717,1.5135872499607809e-07,3.999999999946626,100.45228986381274,9999999.577402238,0.9977701733022224,0.0435065909748507,2,1000,1000,2,0,3,1000.0,2,0,24863252.0,123542632.0,108425383.0,3961184.0,40675670.0,571977382.0,1534790684.0,706788740.0,27225696.0,210449.0,13943487.0,371893003.0,1911868.0,7483057.0
1_LotF259031,PSC30＿水準9,セル1,Reverse,1_LotF259031_PSC30＿水準9_セル1_Reverse,13.477762803677,0.590589915310037,1.124747,1.0117,1.42852,23.4491135915955,0.82106531,118.969113595636,45355.8371587706,0.73,0.973207285954042,0.001431258274624,1.1013207246027821e-07,3.999999999961026,76.77762187783536,3771661.578229116,0.9960500083995444,0.0560992736469954,2,1000,1000,2,0,3,1000.0,2,0,24863252.0,123542632.0,108425383.0,3961184.0,40675670.0,571977382.0,1534790684.0,706788740.0,27225696.0,210449.0,13943487.0,371893003.0,1911868.0,7483057.0
1_LotF259031,PSC30＿水準9,セル2,Forward,1_LotF259031_PSC30＿水準9_セル2_Forward,12.1980203545634,0.578598244708239,1.143236,1.0117,1.395238,22.902790544977,0.7431034,145.826220963211,14415.7682293931,0.65,0.920500101254437,0.0013879118203892,1.717017316857973e-07,3.999999999954906,96.10570926731788,9999999.99996578,0.9980418569402156,0.0422736033820068,2,1000,1000,2,0,3,1000.0,2,0,24863252.0,123542632.0,108425383.0,3961184.0,40675670.0,571977382.0,1534790684.0,706788740.0,27225696.0,210449.0,13943487.0,371893003.0,1911868.0,7483057.0
1_LotF259031,PSC30＿水準9,セル2,Reverse,1_LotF259031_PSC30＿水準9_セル2_Reverse,12.1384848982272,0.547545198777358,1.056395,1.0117,1.389733,22.812426132633,0.7394765,125.029022361816,15134.0047328168,0.7,0.971791355818469,0.001360997330512,6.879173592496283e-07,4.961514226382263,58.40645522388471,3972742.72889249,0.9967032510880726,0.0517597731125139,2,1000,1000,2,0,3,1000.0,2,0,24863252.0,123542632.0,108425383.0,3961184.0,40675670.0,571977382.0,1534790684.0,706788740.0,27225696.0,210449.0,13943487.0,371893003.0,1911868.0,7483057.0
1_LotF259031,PSC30＿水準9,セル3,Forward,1_LotF259031_PSC30＿水準9_セル3_Forward,11.8952278397899,0.570309315350034,1.132277,1.0117,1.405107,23.0647898883782,0.72465728,154.758419012753,16553.9659289258,0.64,0.90430055384943,0.0014017204853746,2.006703581291049e-07,3.999999999927063,102.20910446848076,9999999.999955203,0.9986165502322982,0.0364820244350854,2,1000,1000,2,0,3,1000.0,2,0,24863252.0,123542632.0,108425383.0,3961184.0,40675670.0,571977382.0,1534790684.0,706788740.0,27225696.0,210449.0,13943487.0,371893003.0,1911868.0,7483057.0
1_LotF259031,PSC30＿水準9,セル3,Reverse,1_LotF259031_PSC30＿水準9_セル3_Reverse,12.2118713066316,0.554889635673687,1.09404,1.0117,1.400403,22.987573867367,0.7439472,124.20607477007,13607.5740581878,0.68,0.957375849817964,0.0013980570411558,6.255113566185921e-07,4.804750258064283,63.10251539696103,3708863.9336705394,0.9960399213761346,0.0599604799177537,2,1000,1000,2,0,3,1000.0,2,0,24863252.0,123542632.0,108425383.0,3961184.0,40675670.0,571977382.0,1534790684.0,706788740.0,27225696.0,210449.0,13943487.0,371893003.0,1911868.0,7483057.0
1_LotF259031,PSC30＿水準9,セル4,Forward,1_LotF259031_PSC30＿水準9_セル4_Forward,11.3118351936967,0.543936959223821,1.1297,1.0117,1.392462,22.8572225869993,0.689117,172.728195048727,12192.8690190253,0.61,0.909831654316534,0.0013833901753171,1.938060231448525e-07,3.999999999944269,113.4572983981498,3301189.7179131103,0.9994773353087508,0.0213169313775234,2,1000,1000,2,0,3,1000.0,2,0,24863252.0,123542632.0,108425383.0,3961184.0,40675670.0,571977382.0,1534790684.0,706788740.0,27225696.0,210449.0,13943487.0,371893003.0,1911868.0,7483057.0
1_LotF259031,PSC30＿水準9,セル4,Reverse,1_LotF259031_PSC30＿水準9_セル4_Reverse,12.1232140512147,0.548703740580081,1.055066,1.0117,1.38865,22.7946487196323,0.7385462,132.039595294415,13550.9144814071,0.7,0.969274859933057,0.0013600687154351,6.381541820960562e-07,4.902992447662478,63.25755475169227,3828258.176432686,0.9971191476549652,0.0478806583983122,2,1000,1000,2,0,3,1000.0,2,0,24863252.0,123542632.0,108425383.0,3961184.0,40675670.0,571977382.0,1534790684.0,706788740.0,27225696.0,210449.0,13943487.0,371893003.0,1911868.0,7483057.0
