rt,pc1,pc2
0.0,0.0001237153085711379,0.00022135548161653773
0.033444816053511704,-2.629086089513654e-05,-1.144392129639966e-05
0.06688963210702341,-6.057216068006572e-05,-1.936906596460427e-05
0.1003344481605351,-0.00012703528714337983,-9.625411882243685e-05
0.13377926421404682,-0.00013428910741079705,-0.0001261668277853321
0.16722408026755853,-0.00016039913401303698,5.18430711149787e-05
0.2006688963210702,-0.00017495026870950782,8.511588040703422e-05
0.23411371237458192,-0.0001368724212133074,8.352091909599313e-05
0.26755852842809363,-0.0001337943701129978,7.550691236827111e-06
0.3010033444816053,-0.00012162683088636621,5.4672756208188714e-05
0.33444816053511706,-8.834108404563406e-05,7.1404294148456e-05
0.36789297658862874,-0.0001397945375152105,5.0039174700483666e-05
0.4013377926421404,-0.00013139138891010908,3.6278873535542526e-05
0.43478260869565216,-9.423067473488148e-05,1.0366831270581184e-05
0.46822742474916385,-8.059553683941818e-05,6.491363027441552e-05
0.5016722408026756,-6.308254689527947e-05,8.218708297686041e-05
0.5351170568561873,-1.6150300910327634e-05,1.8737172917105324e-05
0.568561872909699,4.5563231711661025e-05,0.0001245882333068372
0.6020066889632106,6.510051468940542e-05,0.0002768165703261675
0.6354515050167224,6.416777661651736e-05,0.0004334316855311935
0.6688963210702341,2.3765344112751945e-05,0.0005572481873058868
0.7023411371237458,-2.64266056300184e-05,0.0006536077885002248
0.7357859531772575,-5.69107417639253e-05,0.0006798094157769321
0.7692307692307692,-5.382788716322187e-05,0.0007574146635460237
0.8026755852842808,-5.920939540997124e-05,0.0007809063709488618
0.8361204013377926,-8.071903059265437e-05,0.0008312768132648229
0.8695652173913043,-0.00010908430051006911,0.0007701826524235967
0.903010033444816,-0.00013729591691682088,0.0007273346090248753
0.9364548494983277,-0.000178452105873396,0.0008401295479577869
0.9698996655518394,-0.00017394237930200987,0.0009916196535238884
1.0033444816053512,-0.00016552224354583788,0.0010387309564748744
1.0367892976588629,-0.0001193182561871477,0.0009961203630118173
1.0702341137123745,-6.49099514285541e-05,0.0009091227891647175
1.1036789297658862,2.922458973972089e-05,0.0006866190758114387
1.137123745819398,7.209092380081224e-05,0.0005957603529604184
1.1705685618729096,0.00014526356909697863,0.0005129216687662741
1.2040133779264213,0.00011809779653941527,0.00033554850837659854
1.237458193979933,6.560776631485929e-05,0.0004242615972321442
1.2709030100334449,6.342868369722494e-05,0.00029198512146986285
1.3043478260869565,5.98172563773313e-05,0.00020791310652323947
1.3377926421404682,2.224254128808359e-05,0.00014852806771843417
1.37123745819398,-7.472083585274451e-06,0.000217142789643372
1.4046822742474916,-2.3267485217782013e-05,0.0001235040926789274
1.4381270903010033,4.110413817267903e-05,-0.0007508962752822645
1.471571906354515,9.679802646777173e-05,-0.001462038940606426
1.5050167224080266,7.688466459666734e-05,-0.0009541150693210019
1.5384615384615383,8.70165271772519e-05,-0.00040363865784018765
1.57190635451505,-0.00043511151164503246,0.002528197248140483
1.6053511705685617,0.0001647391481545326,0.00036850353262163555
1.6387959866220736,0.0004449106882087525,-0.0013571371793549307
1.6722408026755853,0.0004317348052009225,-0.0013615549435280498
1.705685618729097,0.00037231181292900184,-0.002337647931597306
1.7391304347826086,-4.391208200709558e-05,0.0007354712331041726
1.7725752508361203,3.994560123573881e-05,0.00035365081691564164
1.806020066889632,0.00014636157508860908,-0.0005739531837941567
1.8394648829431437,0.00012281041858176747,-0.0008994751832075679
1.8729096989966554,0.00012939715103121776,-0.000964452060845828
1.906354515050167,0.00021592798180954808,-0.0009392683406305092
1.9397993311036787,0.00024259682084481032,-0.0008500297276655558
1.9732441471571907,0.0001763541093337283,-0.0008040848596275139
2.0066889632107023,0.0001303762763427508,-0.0008486754863197334
2.040133779264214,0.00013862250314984324,-0.0007364848266429078
2.0735785953177257,0.00016250910005977812,-0.0007566421074260296
2.1070234113712374,0.00010232066235610221,-0.0006233955160960434
2.140468227424749,0.00013727603314682416,-0.0005753142016377514
2.1739130434782608,0.00036983263542709224,-0.0006440074907526225
2.2073578595317724,0.0003344394122770255,-0.0007123703417292489
2.240802675585284,0.00017459828021284456,-0.0006470209398819024
2.274247491638796,0.00013325822039084168,-0.0004985098654520874
2.3076923076923075,0.00016653634213342487,-0.0004438137174863297
2.341137123745819,0.00022509477056284068,-0.0003541536384513993
2.374581939799331,0.00020246525893472453,-0.0004075730643670333
2.4080267558528425,0.0002055939709026899,-0.0004800530402953328
2.441471571906354,0.0001795056099213357,-0.0005928107383246815
2.474916387959866,0.00016558628520192003,-0.000621213379085132
2.508361204013378,0.00016429745298760423,-0.00047168730932283133
2.5418060200668897,0.0007403863869930748,0.005221892113850997
2.5752508361204014,0.01725671293840889,0.07397069658647829
2.608695652173913,0.1447419440480094,0.23395293198595293
2.6421404682274248,0.3425690770128762,0.12932021394479987
2.6755852842809364,0.3195580055640462,-0.12189971373509174
2.709030100334448,0.14959737641464438,-0.14257945623984047
