[Header]
Application Name,LabSolutions
Version,5.128 SP1
Data File Name,C:\LabSolutions\Sample\LC\Demo_Data-005.lcd
Output Date,2026/03/04
Output Time,15:46:50

[Configuration]
Instrument Name,ëïíu1
Instrument #,-1
Line #,1
# of Detectors,1
Detector ID,Detector A
Detector Name,åüèoäÌA
# of Channels,1

[Peak Table(Detector A)]
# of Peaks,4
Peak#,R.Time,I.Time,F.Time,Area,Height,A/H,Conc.,Mark,ID#,Name,k',Plate #,Plate Ht.,Tailing,Resolution,Sep.Factor,Area Ratio,Height Ratio,Conc. %,Norm Conc.
1,2.656,2.533,2.825,58928,10414,5.659,0.804,   ,1,Methyl paraben,0.000,4255,35.251,1.195,0.000,0.000,0,0,25.243,25.243
2,3.246,3.108,3.408,64286,12151,5.291,0.776,   ,2,Ethyl paraben,0.222,7117,21.077,1.172,3.724,0.000,0,0,24.357,24.357
3,3.959,3.833,4.100,42947,9138,4.700,0.804,   ,3,Propyl paraben,0.491,13059,11.486,1.172,4.876,2.209,0,0,25.244,25.244
4,4.654,4.533,4.792,45852,10652,4.304,0.801,   ,4,Butyl paraben,0.752,21408,7.007,1.184,5.228,1.533,0,0,25.156,25.156

[LC Chromatogram(Detector A-Ch1)]
2.90833,454
2.91667,464
2.92500,474
2.93333,484
2.94167,493
2.95000,504
2.95833,513
2.96667,524
2.97500,536
2.98333,547
2.99167,560
3.00000,575
3.00833,592
3.01667,611
3.02500,634
3.03333,662
3.04167,694
3.05000,730
3.05833,770
3.06667,810
3.07500,849
3.08333,885
3.09167,917
3.10000,943
3.10833,963
3.11667,977
3.12500,988
3.13333,999
3.14167,1022
3.15000,1070
3.15833,1173
3.16667,1383
3.17500,1774
3.18333,2432
3.19167,3436
3.20000,4822
3.20833,6539
3.21667,8438
3.22500,10292
3.23333,11842
3.24167,12866
3.25000,13230
3.25833,12916
3.26667,12010
3.27500,10680
3.28333,9122
3.29167,7525
3.30000,6038
3.30833,4752
3.31667,3711
3.32500,2911
3.33333,2325
3.34167,1915
3.35000,1638
3.35833,1459
3.36667,1346
3.37500,1279
3.38333,1243
3.39167,1225
3.40000,1218
3.40833,1217
3.41667,1221
3.42500,1229
3.43333,1238
3.44167,1248
3.45000,1260
3.45833,1273
3.46667,1285
3.47500,1299
3.48333,1313
3.49167,1328
3.50000,1343
3.50833,1358
3.51667,1374
3.52500,1390
3.53333,1406
3.54167,1422
3.55000,1437
3.55833,1452
3.56667,1468
3.57500,1484
3.58333,1499
3.59167,1515
3.60000,1529
3.60833,1544
3.61667,1558
3.62500,1571
3.63333,1584
3.64167,1598
3.65000,1610
3.65833,1624
3.66667,1637
3.67500,1650
3.68333,1664
3.69167,1677
3.70000,1691
3.70833,1705
3.71667,1718
3.72500,1731
3.73333,1744
3.74167,1757
3.75000,1770
3.75833,1783
3.76667,1795
3.77500,1807
3.78333,1819
3.79167,1832
3.80000,1845
3.80833,1857
3.81667,1869
3.82500,1881
3.83333,1893
3.84167,1905
3.85000,1921
3.85833,1941
3.86667,1974
3.87500,2035
3.88333,2153
3.89167,2383
3.90000,2801
3.90833,3499
3.91667,4543
3.92500,5928
3.93333,7530
3.94167,9119
3.95000,10407
3.95833,11147
3.96667,11214
3.97500,10636
3.98333,9573
3.99167,8248
4.00000,6884
4.00833,5642
4.01667,4614
4.02500,3826
4.03333,3258
4.04167,2870
4.05000,2618
4.05833,2462
4.06667,2369
4.07500,2319
4.08333,2294
4.09167,2283
4.10000,2281
4.10833,2285
4.11667,2291
4.12500,2298
4.13333,2307
4.14167,2316
4.15000,2325
4.15833,2336
4.16667,2346
4.17500,2357
4.18333,2368
4.19167,2380
4.20000,2392
4.20833,2404
4.21667,2418
4.22500,2432
4.23333,2448
4.24167,2465
4.25000,2482
4.25833,2501
4.26667,2523
4.27500,2545
4.28333,2569
4.29167,2594
4.30000,2620
4.30833,2645
4.31667,2668
4.32500,2689
4.33333,2707
4.34167,2721
4.35000,2730
4.35833,2734
4.36667,2732
4.37500,2725
4.38333,2715
4.39167,2703
4.40000,2690
4.40833,2678
4.41667,2670
4.42500,2664
4.43333,2661
4.44167,2660
4.45000,2661
4.45833,2664
4.46667,2668
4.47500,2674
4.48333,2679
4.49167,2685
4.50000,2692
4.50833,2699
4.51667,2705
4.52500,2714
4.53333,2723
4.54167,2734
4.55000,2746
4.55833,2765
4.56667,2797
4.57500,2859
4.58333,2987
4.59167,3251
4.60000,3760
4.60833,4644
4.61667,6002
4.62500,7809
4.63333,9851
4.64167,11748
4.65000,13072
4.65833,13523
4.66667,13043
4.67500,11822
4.68333,10187
4.69167,8470
4.70000,6920
4.70833,5663
4.71667,4726
4.72500,4074
4.73333,3645
4.74167,3375
4.75000,3213
4.75833,3121
4.76667,3073
4.77500,3049
4.78333,3039
4.79167,3038
4.80000,3043
4.80833,3049
4.81667,3059
4.82500,3069
4.83333,3079
4.84167,3089
4.85000,3099
4.85833,3108
4.86667,3119
4.87500,3130
4.88333,3140
4.89167,3151
4.90000,3161
4.90833,3172
4.91667,3183
4.92500,3195
4.93333,3207
4.94167,3219
4.95000,3229
4.95833,3239
4.96667,3250
4.97500,3261
4.98333,3272
4.99167,3282
5.00000,3293
5.00833,3303
5.01667,3314
5.02500,3326
5.03333,3338
5.04167,3351
5.05000,3363
5.05833,3374
5.06667,3386
5.07500,3397
5.08333,3407
5.09167,3418
5.10000,3430
5.10833,3442
5.11667,3454
5.12500,3465
5.13333,3476
5.14167,3487
5.15000,3498
5.15833,3507
5.16667,3517
5.17500,3524
5.18333,3533
5.19167,3541
5.20000,3550
5.20833,3560
5.21667,3570
