[Header]
Application Name,LabSolutions
Version,5.128 SP1
Data File Name,C:\LabSolutions\Sample\LC\Demo_Data-003.lcd
Output Date,2026/03/04
Output Time,15:45:34

[Configuration]
Instrument Name,ëïíu1
Instrument #,-1
Line #,1
# of Detectors,1
Detector ID,Detector A
Detector Name,åüèoäÌA
# of Channels,1

[Peak Table(Detector A)]
# of Peaks,4
Peak#,R.Time,I.Time,F.Time,Area,Height,A/H,Conc.,Mark,ID#,Name,k',Plate #,Plate Ht.,Tailing,Resolution,Sep.Factor,Area Ratio,Height Ratio,Conc. %,Norm Conc.
1,2.649,2.508,2.850,292783,51586,5.676,4.002,   ,1,Methyl paraben,0.000,4243,35.350,1.198,0.000,0.000,0,0,24.992,24.992
2,3.237,3.083,3.425,322020,60349,5.336,4.007,   ,2,Ethyl paraben,0.222,6996,21.441,1.171,3.704,0.000,0,0,25.026,25.026
3,3.950,3.817,4.125,213341,45215,4.718,4.002,   ,3,Propyl paraben,0.491,12984,11.552,1.182,4.858,2.212,0,0,24.991,24.991
4,4.645,4.517,4.808,227691,52643,4.325,4.002,   ,4,Butyl paraben,0.753,21288,7.046,1.190,5.225,1.534,0,0,24.992,24.992

[LC Chromatogram(Detector A-Ch1)]
2.87500,461
2.88333,464
2.89167,469
2.90000,474
2.90833,481
2.91667,489
2.92500,496
2.93333,503
2.94167,510
2.95000,518
2.95833,527
2.96667,536
2.97500,545
2.98333,556
2.99167,569
3.00000,583
3.00833,598
3.01667,619
3.02500,644
3.03333,676
3.04167,713
3.05000,754
3.05833,797
3.06667,841
3.07500,883
3.08333,921
3.09167,955
3.10000,984
3.10833,1012
3.11667,1048
3.12500,1109
3.13333,1238
3.14167,1516
3.15000,2093
3.15833,3226
3.16667,5282
3.17500,8694
3.18333,13837
3.19167,20843
3.20000,29420
3.20833,38798
3.21667,47825
3.22500,55240
3.23333,59979
3.24167,61432
3.25000,59556
3.25833,54830
3.26667,48090
3.27500,40317
3.28333,32426
3.29167,25122
3.30000,18840
3.30833,13759
3.31667,9862
3.32500,7005
3.33333,4994
3.34167,3627
3.35000,2727
3.35833,2151
3.36667,1791
3.37500,1571
3.38333,1440
3.39167,1363
3.40000,1320
3.40833,1297
3.41667,1285
3.42500,1281
3.43333,1281
3.44167,1286
3.45000,1292
3.45833,1300
3.46667,1308
3.47500,1317
3.48333,1326
3.49167,1337
3.50000,1349
3.50833,1361
3.51667,1375
3.52500,1389
3.53333,1402
3.54167,1415
3.55000,1429
3.55833,1444
3.56667,1459
3.57500,1473
3.58333,1487
3.59167,1502
3.60000,1517
3.60833,1532
3.61667,1547
3.62500,1561
3.63333,1575
3.64167,1589
3.65000,1603
3.65833,1617
3.66667,1630
3.67500,1643
3.68333,1656
3.69167,1667
3.70000,1680
3.70833,1693
3.71667,1705
3.72500,1716
3.73333,1727
3.74167,1739
3.75000,1750
3.75833,1761
3.76667,1771
3.77500,1780
3.78333,1789
3.79167,1797
3.80000,1805
3.80833,1814
3.81667,1826
3.82500,1840
3.83333,1861
3.84167,1895
3.85000,1958
3.85833,2089
3.86667,2366
3.87500,2951
3.88333,4120
3.89167,6277
3.90000,9869
3.90833,15201
3.91667,22181
3.92500,30139
3.93333,37876
3.94167,43971
3.95000,47244
3.95833,47150
3.96667,43917
3.97500,38391
3.98333,31707
3.99167,24932
4.00000,18840
4.00833,13839
4.01667,10023
4.02500,7282
4.03333,5410
4.04167,4184
4.05000,3410
4.05833,2935
4.06667,2652
4.07500,2487
4.08333,2393
4.09167,2341
4.10000,2314
4.10833,2302
4.11667,2297
4.12500,2296
4.13333,2298
4.14167,2301
4.15000,2306
4.15833,2312
4.16667,2318
4.17500,2323
4.18333,2329
4.19167,2337
4.20000,2345
4.20833,2352
4.21667,2359
4.22500,2365
4.23333,2373
4.24167,2379
4.25000,2386
4.25833,2394
4.26667,2402
4.27500,2410
4.28333,2416
