[Header]
Application Name,LabSolutions
Version,5.128 SP1
Data File Name,C:\LabSolutions\Sample\LC\Demo_Data-004.lcd
Output Date,2026/03/04
Output Time,15:45:59

[Configuration]
Instrument Name,ëïíu1
Instrument #,-1
Line #,1
# of Detectors,1
Detector ID,Detector A
Detector Name,åüèoäÌA
# of Channels,1

[Peak Table(Detector A)]
# of Peaks,4
Peak#,R.Time,I.Time,F.Time,Area,Height,A/H,Conc.,Mark,ID#,Name,k',Plate #,Plate Ht.,Tailing,Resolution,Sep.Factor,Area Ratio,Height Ratio,Conc. %,Norm Conc.
1,2.653,2.517,2.850,220860,38980,5.666,3.018,   ,1,Methyl paraben,0.000,4214,35.595,1.201,0.000,0.000,0,0,25.016,25.016
2,3.242,3.092,3.425,242677,45224,5.366,3.012,   ,2,Ethyl paraben,0.222,6954,21.571,1.174,3.688,0.000,0,0,24.967,24.967
3,3.956,3.817,4.125,160931,34302,4.692,3.018,   ,3,Propyl paraben,0.491,12905,11.624,1.176,4.843,2.213,0,0,25.015,25.015
4,4.650,4.517,4.808,171726,39519,4.345,3.017,   ,4,Butyl paraben,0.752,20810,7.208,1.184,5.177,1.533,0,0,25.003,25.003

[LC Chromatogram(Detector A-Ch1)]
Interval(msec),500
# of Points,1201
Start Time(min),0.000
End Time(min),10.000
Intensity Units,mV
Intensity Multiplier,0.001
Wavelength(nm),254
R.Time (min),Intensity
0.00000,3
0.00833,3
0.01667,-0
0.02500,0
0.03333,1
0.04167,1
0.05000,1
0.05833,1
0.06667,1
0.07500,1
0.08333,1
0.09167,0
0.10000,0
0.10833,0
0.11667,1
0.12500,1
0.13333,2
0.14167,2
0.15000,1
0.15833,1
0.16667,0
0.17500,0
0.18333,1
0.19167,2
0.20000,2
0.20833,1
0.21667,2
0.22500,4
0.23333,5
0.24167,5
0.25000,6
0.25833,8
0.26667,8
0.27500,7
0.28333,8
0.29167,10
0.30000,12
0.30833,13
0.31667,14
0.32500,14
0.33333,14
0.34167,13
0.35000,12
0.35833,11
0.36667,9
0.37500,8
0.38333,8
0.39167,7
0.40000,7
0.40833,6
0.41667,6
0.42500,6
0.43333,7
0.44167,8
0.45000,8
0.45833,8
0.46667,8
0.47500,7
0.48333,7
0.49167,6
0.50000,5
0.50833,5
0.51667,5
0.52500,5
0.53333,5
0.54167,4
0.55000,4
0.55833,5
0.56667,6
0.57500,6
0.58333,6
0.59167,6
0.60000,6
0.60833,6
0.61667,6
0.62500,6
0.63333,6
0.64167,5
0.65000,4
0.65833,4
0.66667,3
0.67500,2
0.68333,1
0.69167,1
0.70000,1
0.70833,2
0.71667,1
0.72500,1
0.73333,1
0.74167,1
0.75000,1
0.75833,1
0.76667,1
0.77500,1
0.78333,1
0.79167,1
0.80000,1
0.80833,2
0.81667,3
0.82500,4
0.83333,4
0.84167,4
0.85000,5
0.85833,6
0.86667,8
0.87500,9
0.88333,11
0.89167,12
0.90000,12
0.90833,12
0.91667,12
0.92500,11
0.93333,11
0.94167,12
0.95000,12
0.95833,12
0.96667,12
0.97500,12
0.98333,13
0.99167,13
1.00000,14
1.00833,15
1.01667,16
1.02500,16
1.03333,16
1.04167,15
1.05000,14
1.05833,14
1.06667,13
1.07500,13
1.08333,13
1.09167,13
1.10000,13
1.10833,13
1.11667,13
1.12500,12
1.13333,12
1.14167,12
1.15000,11
1.15833,10
1.16667,10
1.17500,11
1.18333,12
1.19167,12
1.20000,12
1.20833,12
1.21667,11
1.22500,10
1.23333,10
1.24167,10
1.25000,10
1.25833,10
1.26667,10
1.27500,10
1.28333,10
1.29167,10
1.30000,10
1.30833,9
1.31667,8
1.32500,8
1.33333,8
1.34167,8
1.35000,8
1.35833,9
1.36667,8
1.37500,8
1.38333,8
1.39167,7
1.40000,6
1.40833,5
1.41667,3
1.42500,2
1.43333,2
1.44167,3
1.45000,5
1.45833,7
1.46667,10
1.47500,12
1.48333,14
1.49167,18
1.50000,22
1.50833,24
1.51667,26
1.52500,27
1.53333,26
1.54167,28
1.55000,57
1.55833,165
1.56667,358
1.57500,588
1.58333,807
1.59167,976
1.60000,1066
1.60833,1117
1.61667,1199
1.62500,1284
1.63333,1298
1.64167,1216
1.65000,1074
1.65833,924
1.66667,799
1.67500,688
1.68333,533
1.69167,287
1.70000,-32
1.70833,-348
1.71667,-584
1.72500,-704
1.73333,-714
1.74167,-644
1.75000,-531
1.75833,-404
1.76667,-286
1.77500,-188
1.78333,-115
1.79167,-63
1.80000,-27
1.80833,-5
1.81667,9
1.82500,17
1.83333,23
1.84167,28
1.85000,31
1.85833,34
1.86667,36
1.87500,37
1.88333,37
1.89167,36
1.90000,35
1.90833,33
1.91667,32
1.92500,31
1.93333,30
1.94167,30
1.95000,30
1.95833,30
1.96667,29
1.97500,30
1.98333,30
1.99167,31
2.00000,32
2.00833,33
2.01667,34
2.02500,34
2.03333,35
2.04167,35
2.05000,37
2.05833,38
2.06667,38
2.07500,36
2.08333,32
2.09167,28
2.10000,24
2.10833,20
2.11667,17
2.12500,16
2.13333,17
2.14167,19
2.15000,21
2.15833,25
2.16667,29
2.17500,32
2.18333,35
2.19167,36
2.20000,35
2.20833,33
2.21667,31
2.22500,29
2.23333,24
2.24167,19
2.25000,16
2.25833,15
2.26667,13
2.27500,13
2.28333,12
2.29167,13
2.30000,13
2.30833,13
2.31667,14
2.32500,16
2.33333,18
2.34167,19
2.35000,19
2.35833,21
2.36667,22
2.37500,23
2.38333,25
2.39167,27
2.40000,28
2.40833,29
2.41667,31
2.42500,34
2.43333,35
2.44167,37
2.45000,39
2.45833,42
2.46667,44
2.47500,47
2.48333,48
2.49167,50
2.50000,54
2.50833,59
2.51667,65
2.52500,77
2.53333,102
2.54167,153
2.55000,263
2.55833,501
2.56667,986
2.57500,1910
2.58333,3521
2.59167,6077
2.60000,9754
2.60833,14533
2.61667,20126
2.62500,25987
2.63333,31422
2.64167,35742
2.65000,38423
2.65833,39199
2.66667,38090
2.67500,35367
2.68333,31468
2.69167,26902
2.70000,22158
2.70833,17631
2.71667,13592
2.72500,10184
2.73333,7446
2.74167,5337
2.75000,3772
2.75833,2650
2.76667,1870
2.77500,1342
2.78333,994
2.79167,769
2.80000,628
2.80833,542
2.81667,491
2.82500,462
2.83333,447
2.84167,440
2.85000,438
2.85833,440
2.86667,444
2.87500,449
2.88333,454
2.89167,460
2.90000,466
2.90833,474
2.91667,482
2.92500,491
2.93333,499
2.94167,509
2.95000,518
2.95833,529
2.96667,539
2.97500,549
2.98333,558
2.99167,569
3.00000,583
3.00833,598
3.01667,618
3.02500,641
3.03333,667
3.04167,699
3.05000,734
3.05833,771
3.06667,811
3.07500,849
3.08333,885
3.09167,916
3.10000,941
3.10833,964
3.11667,987
3.12500,1020
3.13333,1085
3.14167,1220
3.15000,1507
3.15833,2092
3.16667,3203
3.17500,5146
3.18333,8247
3.19167,12726
3.20000,18563
3.20833,25384
