[Header]
Application Name,LabSolutions
Version,5.128 SP1
Data File Name,C:\LabSolutions\Sample\LC\Demo_Data-006.lcd
Output Date,2026/03/04
Output Time,15:47:10

[Configuration]
Instrument Name,ëïíu1
Instrument #,-1
Line #,1
# of Detectors,1
Detector ID,Detector A
Detector Name,åüèoäÌA
# of Channels,1

[Peak Table(Detector A)]
# of Peaks,4
Peak#,R.Time,I.Time,F.Time,Area,Height,A/H,Conc.,Mark,ID#,Name,k',Plate #,Plate Ht.,Tailing,Resolution,Sep.Factor,Area Ratio,Height Ratio,Conc. %,Norm Conc.
1,2.660,2.525,2.858,175519,30759,5.706,2.398,   ,1,Methyl paraben,0.000,4228,35.478,1.202,0.000,0.000,0,0,25.063,25.063
2,3.253,3.108,3.425,192088,36032,5.331,2.378,   ,2,Ethyl paraben,0.223,7060,21.246,1.171,3.723,0.000,0,0,24.852,24.852
3,3.968,3.833,4.133,127901,27158,4.709,2.398,   ,3,Propyl paraben,0.492,13063,11.483,1.176,4.869,2.206,0,0,25.063,25.063
4,4.664,4.533,4.817,136373,31665,4.307,2.395,   ,4,Butyl paraben,0.753,20407,7.350,1.187,5.164,1.532,0,0,25.023,25.023

[LC Chromatogram(Detector A-Ch1)]
Interval(msec),500
# of Points,1201
2.81667,484
2.82500,447
2.83333,427
2.84167,416
2.85000,412
2.85833,412
2.86667,414
2.87500,417
2.88333,423
2.89167,430
2.90000,435
2.90833,441
2.91667,449
2.92500,458
2.93333,468
2.94167,478
2.95000,488
2.95833,498
2.96667,509
2.97500,521
2.98333,533
2.99167,546
3.00000,560
3.00833,575
3.01667,594
3.02500,616
3.03333,642
3.04167,673
3.05000,709
3.05833,746
3.06667,786
3.07500,826
3.08333,864
3.09167,898
3.10000,925
3.10833,947
3.11667,964
3.12500,979
3.13333,999
3.14167,1037
3.15000,1120
3.15833,1298
3.16667,1670
3.17500,2396
3.18333,3702
3.19167,5847
3.20000,9043
3.20833,13348
3.21667,18559
3.22500,24182
3.23333,29517
3.24167,33813
3.25000,36461
3.25833,37130
3.26667,35828
3.27500,32867
3.28333,28762
3.29167,24095
3.30000,19402
3.30833,15091
3.31667,11404
3.32500,8435
3.33333,6167
3.34167,4511
3.35000,3351
3.35833,2567
3.36667,2054
3.37500,1729
3.38333,1528
3.39167,1408
3.40000,1339
3.40833,1303
3.41667,1285
3.42500,1279
3.43333,1280
3.44167,1286
3.45000,1296
3.45833,1307
3.46667,1318
3.47500,1330
3.48333,1343
3.49167,1357
3.50000,1370
3.50833,1384
3.51667,1398
3.52500,1412
3.53333,1425
3.54167,1439
3.55000,1453
3.55833,1466
3.56667,1478
3.57500,1491
3.58333,1504
3.59167,1516
3.60000,1528
3.60833,1540
3.61667,1552
3.62500,1565
3.63333,1577
3.64167,1590
3.65000,1602
3.65833,1615
3.66667,1627
3.67500,1639
3.68333,1651
3.69167,1661
3.70000,1672
3.70833,1682
3.71667,1694
3.72500,1705
3.73333,1717
3.74167,1730
3.75000,1743
3.75833,1757
3.76667,1770
3.77500,1783
3.78333,1797
3.79167,1809
3.80000,1821
3.80833,1834
3.81667,1848
3.82500,1862
3.83333,1875
3.84167,1889
3.85000,1907
3.85833,1932
3.86667,1973
3.87500,2049
3.88333,2202
3.89167,2519
3.90000,3153
3.90833,4334
3.91667,6332
3.92500,9352
3.93333,13388
3.94167,18099
3.95000,22810
3.95833,26676
3.96667,28949
3.97500,29235
3.98333,27593
3.99167,24480
4.00000,20559
4.00833,16485
4.01667,12757
4.02500,9652
4.03333,7255
4.04167,5517
4.05000,4320
4.05833,3531
4.06667,3031
4.07500,2724
4.08333,2541
4.09167,2436
4.10000,2377
4.10833,2346
4.11667,2332
4.12500,2326
4.13333,2324
4.14167,2326
4.15000,2330
4.15833,2335
4.16667,2342
4.17500,2351
4.18333,2358
4.19167,2365
4.20000,2374
4.20833,2385
4.21667,2397
4.22500,2410
4.23333,2423
4.24167,2438
4.25000,2455
4.25833,2473
4.26667,2492
4.27500,2510
4.28333,2528
4.29167,2547
4.30000,2566
4.30833,2584
4.31667,2600
4.32500,2612
4.33333,2621
4.34167,2628
4.35000,2632
4.35833,2633
4.36667,2633
4.37500,2631
4.38333,2629
4.39167,2626
4.40000,2624
4.40833,2626
4.41667,2628
4.42500,2632
4.43333,2636
4.44167,2643
4.45000,2651
4.45833,2659
4.46667,2666
4.47500,2673
4.48333,2682
4.49167,2690
4.50000,2696
4.50833,2705
4.51667,2714
4.52500,2723
4.53333,2732
4.54167,2744
4.55000,2759
4.55833,2781
4.56667,2818
4.57500,2887
4.58333,3032
4.59167,3346
4.60000,4017
4.60833,5351
4.61667,7743
